step,target_avg_bits,achieved_avg_bits,regions_upgraded,weights_upgraded,ppl
0,4.0,4.0,0,0,6.515336
1,4.0,4.000000,0,0,6.515336
2,4.1,4.125000,4,809500672,6.220262
3,4.2,4.218750,7,1416626176,6.131582
4,4.3,4.312500,10,2023751680,6.051414
5,4.4,4.406250,13,2630877184,5.979704
6,4.5,4.500000,16,3238002688,5.918261
7,4.6,4.625000,20,4047503360,5.866098
8,4.7,4.718750,23,4654628864,5.822351
9,4.8,4.812500,26,5261754368,5.781679
10,4.9,4.906250,29,5868879872,5.740959
11,5.0,5.000000,32,6476005376,5.695328
