step,target_avg_bits,achieved_avg_bits,regions_upgraded,weights_upgraded,ppl
0,4.0,4.0,0,0,13.939527
1,4.0,4.000000,0,0,13.939527
2,4.1,4.125000,4,314572800,13.757050
3,4.2,4.218750,7,550502400,13.615438
4,4.3,4.312500,10,786432000,13.527756
5,4.4,4.406250,13,1022361600,13.478792
6,4.5,4.500000,16,1258291200,13.396032
7,4.6,4.625000,20,1572864000,13.319783
8,4.7,4.718750,23,1808793600,13.261394
9,4.8,4.812500,26,2044723200,13.109464
10,4.9,4.906250,29,2280652800,12.984659
11,5.0,5.000000,32,2516582400,12.967625
