step,target_avg_bits,achieved_avg_bits,regions_upgraded,weights_upgraded,ppl
0,4.0,4.0,0,0,13.939527
1,4.0,4.000000,0,0,13.939527
2,4.1,4.125000,4,314572800,13.532882
3,4.2,4.218750,7,550502400,13.312568
4,4.3,4.312500,10,786432000,13.169557
5,4.4,4.406250,13,1022361600,13.055571
6,4.5,4.500000,16,1258291200,12.936582
7,4.6,4.625000,20,1572864000,12.856479
8,4.7,4.718750,23,1808793600,12.815532
9,4.8,4.812500,26,2044723200,12.913160
10,4.9,4.906250,29,2280652800,12.925822
11,5.0,5.000000,32,2516582400,12.967625
