step,target_avg_bits,achieved_avg_bits,regions_upgraded,weights_upgraded,ppl
0,4.0,4.0,0,0,12.193939
1,4.0,4.000000,0,0,12.193939
2,4.1,4.125000,4,314572800,11.910266
3,4.2,4.218750,7,550502400,11.609940
4,4.3,4.312500,10,786432000,11.360267
5,4.4,4.406250,13,1022361600,11.170305
6,4.5,4.500000,16,1258291200,10.965590
7,4.6,4.625000,20,1572864000,10.851579
8,4.7,4.718750,23,1808793600,10.770724
9,4.8,4.812500,26,2044723200,10.637774
10,4.9,4.906250,29,2280652800,10.513033
11,5.0,5.000000,32,2516582400,10.363966
