step,target_avg_bits,achieved_avg_bits,regions_upgraded,weights_upgraded,ppl
0,4.0,4.0,0,0,12.193939
1,4.0,4.000000,0,0,12.193939
2,4.1,4.125000,4,314572800,11.681208
3,4.2,4.218750,7,550502400,11.419588
4,4.3,4.312500,10,786432000,11.208703
5,4.4,4.406250,13,1022361600,11.043012
6,4.5,4.500000,16,1258291200,10.889132
7,4.6,4.625000,20,1572864000,10.706801
8,4.7,4.718750,23,1808793600,10.610193
9,4.8,4.812500,26,2044723200,10.514044
10,4.9,4.906250,29,2280652800,10.422370
11,5.0,5.000000,32,2516582400,10.363966
