model,target_avg_bits,achieved_avg_bits,wikitext2_ppl
gpt2-large,4.0,4.0,21.82
gpt2-large,4.1,4.1,20.15
gpt2-large,4.2,4.2006,19.47
gpt2-large,4.4,4.4006,18.82
gpt2-large,4.7,4.7006,18.52
gpt2-xl,4.0,4.0,18.78
gpt2-xl,4.1,4.1002,17.41
gpt2-xl,4.4,4.4001,16.43
gpt2-xl,4.7,4.7001,16.30
gpt2-xl,5.0,5.0,17.72
phi-2,4.0,4.0,12.19
phi-2,4.1,4.1,10.90
phi-2,4.4,4.4003,10.51
phi-2,4.5,4.5,10.41
phi-2,4.7,4.7003,10.22
phi-2,4.9,4.9003,10.06
phi-2,5.0,5.0,10.36
opt-2.7b,4.0,4.0,13.94
opt-2.7b,4.1,4.1,12.71
opt-2.7b,4.4,4.4003,12.18
opt-2.7b,4.7,4.7003,12.00
opt-2.7b,4.8,4.8,11.99
opt-2.7b,5.0,5.0,12.97
llama-2-7b,4.0,4.0,6.51
llama-2-7b,4.1,4.1002,6.00
llama-2-7b,4.4,4.4,5.80
llama-2-7b,4.6,4.6002,5.72
llama-2-7b,4.7,4.7001,5.69
llama-2-7b,4.9,4.9,5.63
llama-2-7b,5.0,5.0,5.69
mistral-7b,4.0,4.0,6.12
mistral-7b,4.1,4.1001,5.65
mistral-7b,4.4,4.4001,5.48
mistral-7b,4.6,4.6001,5.42
mistral-7b,4.7,4.7001,5.40
mistral-7b,4.9,4.9001,5.38
mistral-7b,5.0,5.0,5.43
deepseek-llm-7b,4.0,4.0,7.94
deepseek-llm-7b,4.1,4.1,7.41
deepseek-llm-7b,4.3,4.3,7.23
deepseek-llm-7b,4.4,4.4002,7.18
deepseek-llm-7b,4.7,4.7002,7.06
deepseek-llm-7b,4.9,4.9002,7.02
deepseek-llm-7b,5.0,5.0,7.11
qwen2.5-7b,4.0,4.0,8.39
qwen2.5-7b,4.1,4.1003,7.76
qwen2.5-7b,4.4,4.4004,7.46
qwen2.5-7b,4.7,4.7005,7.32
qwen2.5-7b,4.9,4.9004,7.27
qwen2.5-7b,5.0,5.0,7.36
qwen2.5-14b,4.0,4.0,7.18
qwen2.5-14b,4.1,4.1,6.54
qwen2.5-14b,4.4,4.4005,6.19
qwen2.5-14b,4.7,4.7005,5.99
qwen2.5-14b,5.0,5.0,5.84
