model,method,granularity,target_avg_bits,achieved_avg_bits,wikitext2_ppl
opt-2.7b,ppl_profiled_layer,layer,4.0,4.0,13.94
opt-2.7b,ppl_profiled_layer,layer,4.4,4.4062,13.06
opt-2.7b,ppl_profiled_layer,layer,4.7,4.7188,12.82
opt-2.7b,fisher_layer,layer,4.0,4.0,13.94
opt-2.7b,fisher_layer,layer,4.4,4.4062,13.48
opt-2.7b,fisher_layer,layer,4.7,4.7188,13.26
phi-2,ppl_profiled_layer,layer,4.0,4.0,12.19
phi-2,ppl_profiled_layer,layer,4.4,4.4062,11.04
phi-2,ppl_profiled_layer,layer,4.7,4.7188,10.61
phi-2,fisher_layer,layer,4.0,4.0,12.19
phi-2,fisher_layer,layer,4.4,4.4062,11.17
phi-2,fisher_layer,layer,4.7,4.7188,10.77
llama-2-7b,ppl_profiled_layer,layer,4.0,4.0,6.52
llama-2-7b,ppl_profiled_layer,layer,4.4,4.4062,5.98
llama-2-7b,ppl_profiled_layer,layer,4.7,4.7188,5.82
llama-2-7b,fisher_layer,layer,4.0,4.0,6.52
llama-2-7b,fisher_layer,layer,4.4,4.4062,6.03
llama-2-7b,fisher_layer,layer,4.7,4.7188,5.81
opt-2.7b,flexposit_cw_mpq,channel_window,4.0,4.0,13.94
opt-2.7b,flexposit_cw_mpq,channel_window,4.4,4.4003,12.18
opt-2.7b,flexposit_cw_mpq,channel_window,4.7,4.7003,12.00
phi-2,flexposit_cw_mpq,channel_window,4.0,4.0,12.19
phi-2,flexposit_cw_mpq,channel_window,4.4,4.4003,10.51
phi-2,flexposit_cw_mpq,channel_window,4.7,4.7003,10.22
llama-2-7b,flexposit_cw_mpq,channel_window,4.0,4.0,6.51
llama-2-7b,flexposit_cw_mpq,channel_window,4.4,4.4,5.80
llama-2-7b,flexposit_cw_mpq,channel_window,4.7,4.7001,5.69
