layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,256,7.936106414734995,-0.00035248007168053874,24.434571981430054,5,256,8,5.440814018249512
model.layers.0.self_attn.q_proj,256,512,7.936567653149973,0.00010875834329748812,24.411712408065796,5,256,8,8.053946495056152
model.layers.0.self_attn.q_proj,512,768,7.934153716433199,-0.0023051783734766573,24.415447473526,5,256,8,8.907197952270508
model.layers.0.self_attn.q_proj,768,1024,7.934773161919067,-0.0016857328876085376,24.040778875350952,5,256,8,8.429097175598145
model.layers.0.self_attn.q_proj,1024,1280,7.935865931787904,-0.0005929630187715418,24.150670289993286,5,256,8,6.779872417449951
model.layers.0.self_attn.q_proj,1280,1536,7.934315523029781,-0.0021433717768948313,24.479509353637695,5,256,8,5.803176403045654
model.layers.0.self_attn.q_proj,1536,1792,7.935521434369203,-0.0009374604374725592,24.040721654891968,5,256,8,5.148550033569336
model.layers.0.self_attn.q_proj,1792,2048,7.938748009034412,0.002289114227735922,24.81214928627014,5,256,8,4.8836212158203125
model.layers.0.self_attn.q_proj,2048,2304,7.937708621627776,0.0012497268210998058,24.404564142227173,5,256,8,8.787347793579102
model.layers.0.self_attn.q_proj,2304,2560,7.936875390068414,0.0004164952617378148,23.9583523273468,5,256,8,6.775120735168457
model.layers.0.self_attn.q_proj,2560,2816,7.936887746411629,0.0004288516049530955,24.30360507965088,5,256,8,5.183785438537598
model.layers.0.self_attn.q_proj,2816,3072,7.936405976059631,-5.2918747044827796e-05,24.277965545654297,5,256,8,7.5364227294921875
model.layers.0.self_attn.q_proj,3072,3328,7.9343579170038385,-0.002100977802837356,23.995498180389404,5,256,8,7.574817180633545
model.layers.0.self_attn.q_proj,3328,3584,7.935679259292811,-0.0007796355138651734,23.997981548309326,5,256,8,8.601204872131348
model.layers.0.self_attn.q_proj,3584,3840,7.933967860899526,-0.0024910339071499976,24.37566113471985,5,256,8,5.0846052169799805
model.layers.0.self_attn.q_proj,3840,4096,7.925016801551237,-0.011442093255438657,24.135924100875854,5,256,8,11.215770721435547
model.layers.0.self_attn.k_proj,0,256,7.935977877246962,-0.00048101755971430293,24.450129747390747,5,256,8,5.030305862426758
model.layers.0.self_attn.k_proj,256,512,7.9367728807823,0.0003139859756240426,24.000098705291748,5,256,8,7.743099689483643
model.layers.0.self_attn.k_proj,512,768,7.931942473212057,-0.004516421594618514,24.033817291259766,5,256,8,8.784432411193848
model.layers.0.self_attn.k_proj,768,1024,7.935298785777576,-0.0011601090291000205,23.821803092956543,5,256,8,7.25938606262207
model.layers.0.self_attn.k_proj,1024,1280,7.93591833319304,-0.0005405616136355818,24.661739826202393,5,256,8,6.684688091278076
model.layers.0.self_attn.k_proj,1280,1536,7.933607599687725,-0.0028512951189512137,24.365314483642578,5,256,8,5.5093865394592285
model.layers.0.self_attn.k_proj,1536,1792,7.934485400957228,-0.0019734938494480048,24.418556451797485,5,256,8,5.3663411140441895
model.layers.0.self_attn.k_proj,1792,2048,7.939209839717399,0.002750944910722808,24.352503061294556,5,256,8,5.824319839477539
model.layers.0.self_attn.k_proj,2048,2304,7.936950393117101,0.0004914983104251647,24.094998121261597,5,256,8,7.904839992523193
model.layers.0.self_attn.k_proj,2304,2560,7.936599219538812,0.00014032473213632102,24.276475429534912,5,256,8,7.099607944488525
model.layers.0.self_attn.k_proj,2560,2816,7.937407808002983,0.0009489131963071884,23.88298273086548,5,256,8,5.203527450561523
model.layers.0.self_attn.k_proj,2816,3072,7.936733594261361,0.0002746994546853898,24.22525453567505,5,256,8,6.930487632751465
model.layers.0.self_attn.k_proj,3072,3328,7.931993007671722,-0.004465887134953661,24.172847747802734,5,256,8,7.309346675872803
model.layers.0.self_attn.k_proj,3328,3584,7.935877484626544,-0.0005814101801320248,24.26548194885254,5,256,8,7.325007438659668
model.layers.0.self_attn.k_proj,3584,3840,7.934182191448977,-0.002276703357698473,24.27886176109314,5,256,8,5.363522529602051
