layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
transformer.h.0.attn.c_attn,0,256,21.826445889971158,0.0071536479390665875,6.694628000259399,5,256,16,10.56406307220459
transformer.h.0.attn.c_attn,256,512,21.821406785210762,0.002114543178670658,6.807579755783081,5,256,16,8.583967208862305
transformer.h.0.attn.c_attn,512,768,21.822624828929627,0.00333258689753535,7.338301658630371,5,256,16,10.12315845489502
transformer.h.0.attn.c_attn,768,1024,21.819469709520543,0.00017746748845226534,7.308750629425049,5,256,16,8.537165641784668
transformer.h.0.attn.c_attn,1024,1280,21.81250348526532,-0.006788756766770376,7.426594495773315,5,256,16,7.758897304534912
transformer.h.0.attn.c_attn,1280,1536,21.8257740114912,0.006481769459110609,7.037776708602905,5,256,16,10.306924819946289
transformer.h.0.attn.c_attn,1536,1792,21.823192697785448,0.003900455753356624,7.25245213508606,5,256,16,8.508403778076172
transformer.h.0.attn.c_attn,1792,2048,21.8229975097817,0.00370526774960922,7.453997850418091,5,256,16,9.723148345947266
transformer.h.0.attn.c_attn,2048,2304,21.820076736532393,0.0007844945003014914,7.4517107009887695,5,256,16,8.8927640914917
transformer.h.0.attn.c_attn,2304,2560,21.81311106142395,-0.0061811806081415455,7.211669921875,5,256,16,7.809261798858643
transformer.h.0.attn.c_attn,2560,2816,21.825072419371818,0.005780177339726578,7.147051572799683,5,256,16,4.56827974319458
transformer.h.0.attn.c_attn,2816,3072,21.818676170538605,-0.0006160714934857481,7.185288667678833,5,256,16,4.344830513000488
transformer.h.0.attn.c_attn,3072,3328,21.824559062694693,0.005266820662601646,7.372870683670044,5,256,16,4.4778008460998535
transformer.h.0.attn.c_attn,3328,3584,21.813785521983444,-0.00550672004864694,7.227728843688965,5,256,16,3.935124635696411
transformer.h.0.attn.c_attn,3584,3840,21.81814661562801,-0.0011456264040816677,7.431917667388916,5,256,16,3.9795210361480713
transformer.h.0.attn.c_proj,0,256,21.835811968416042,0.01651972638395094,7.1700334548950195,5,256,16,4.451119422912598
transformer.h.0.attn.c_proj,256,512,21.82256135340765,0.003269111375558964,7.388036251068115,5,256,16,4.25981330871582
transformer.h.0.attn.c_proj,512,768,21.811854323179755,-0.007437918852335912,7.289302349090576,5,256,16,4.0940141677856445
transformer.h.0.attn.c_proj,768,1024,21.81669148334906,-0.0026007586830303353,7.155985116958618,5,256,16,4.347671031951904
transformer.h.0.attn.c_proj,1024,1280,21.819137516530283,-0.0001547255018081728,7.462470769882202,5,256,16,4.161468505859375
transformer.h.0.mlp.c_fc,0,256,21.83067701399195,0.011384771959857432,7.248483896255493,5,256,16,6.510366439819336
transformer.h.0.mlp.c_fc,256,512,21.81920276567151,-8.947636058209696e-05,7.209513425827026,5,256,16,6.458796501159668
transformer.h.0.mlp.c_fc,512,768,21.817669982611203,-0.0016222594208876728,7.295104742050171,5,256,16,6.454743385314941
transformer.h.0.mlp.c_fc,768,1024,21.819518758578486,0.00022651654639460617,7.291943788528442,5,256,16,6.403268337249756
transformer.h.0.mlp.c_fc,1024,1280,21.81594351981175,-0.003348722220341216,7.25274395942688,5,256,16,6.406668663024902
