layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,256,6.516548209316783,0.001283314186126816,24.493778705596924,5,256,8,3.6269986629486084
model.layers.0.self_attn.q_proj,256,512,6.513964057771252,-0.0013008373594036726,24.54875946044922,5,256,8,2.5548484325408936
model.layers.0.self_attn.q_proj,512,768,6.517026306779999,0.0017614116493431808,24.440547943115234,5,256,8,3.541562080383301
model.layers.0.self_attn.q_proj,768,1024,6.518590420970647,0.00332552583999135,24.488699436187744,5,256,8,3.133166551589966
model.layers.0.self_attn.q_proj,1024,1280,6.518071560469701,0.0028066653390448337,24.558501958847046,5,256,8,3.78835129737854
model.layers.0.self_attn.q_proj,1280,1536,6.516265972315284,0.001001077184628052,24.535561084747314,5,256,8,3.1164567470550537
model.layers.0.self_attn.q_proj,1536,1792,6.51642489057167,0.0011599954410144164,24.510157585144043,5,256,8,4.033358097076416
model.layers.0.self_attn.q_proj,1792,2048,6.512756009130478,-0.0025088860001778457,24.55987811088562,5,256,8,2.7093029022216797
model.layers.0.self_attn.q_proj,2048,2304,6.515252674127542,-1.2221003114376572e-05,24.575709342956543,5,256,8,3.620093584060669
model.layers.0.self_attn.q_proj,2304,2560,6.513036167101299,-0.002228728029357363,24.49394941329956,5,256,8,4.797636985778809
model.layers.0.self_attn.q_proj,2560,2816,6.515174800862053,-9.00942686028472e-05,24.487165212631226,5,256,8,3.171001672744751
model.layers.0.self_attn.q_proj,2816,3072,6.518329684240288,0.003064789109632038,24.473371982574463,5,256,8,3.2464540004730225
model.layers.0.self_attn.q_proj,3072,3328,6.511951971236377,-0.0033129238942786188,24.442753553390503,5,256,8,2.836406707763672
model.layers.0.self_attn.q_proj,3328,3584,6.515069212114661,-0.0001956830159945966,24.432831525802612,5,256,8,3.118008613586426
model.layers.0.self_attn.q_proj,3584,3840,6.514315412076605,-0.0009494830540512922,24.495957612991333,5,256,8,5.722688674926758
model.layers.0.self_attn.q_proj,3840,4096,6.512530675454053,-0.0027342196766033666,24.535070180892944,5,256,8,2.746049404144287
model.layers.0.self_attn.k_proj,0,256,6.516295397170034,0.001030502039378156,24.51399803161621,5,256,8,3.7481729984283447
model.layers.0.self_attn.k_proj,256,512,6.511808051427183,-0.0034568437034732113,24.517995357513428,5,256,8,3.2546610832214355
model.layers.0.self_attn.k_proj,512,768,6.515858156013778,0.0005932608831216157,24.51189947128296,5,256,8,3.7908899784088135
model.layers.0.self_attn.k_proj,768,1024,6.515974314051519,0.0007094189208629587,24.682706356048584,5,256,8,3.850940465927124
model.layers.0.self_attn.k_proj,1024,1280,6.5155543131503935,0.00028941801973747516,24.532851696014404,5,256,8,3.9318363666534424
model.layers.0.self_attn.k_proj,1280,1536,6.51592785807477,0.0006629629441139429,24.619834899902344,5,256,8,3.8327600955963135
model.layers.0.self_attn.k_proj,1536,1792,6.514747740286278,-0.000517154844377643,24.383182525634766,5,256,8,4.277499675750732
