layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,256,6.120344303548767,-2.1449438118992248e-05,26.247423887252808,5,256,8,0.9016551375389099
model.layers.0.self_attn.q_proj,256,512,6.120237393186268,-0.0001283598006178721,26.104989767074585,5,256,8,1.2349896430969238
model.layers.0.self_attn.q_proj,512,768,6.120225119987203,-0.00014063299968292142,26.24882698059082,5,256,8,0.7046993374824524
model.layers.0.self_attn.q_proj,768,1024,6.120293133156066,-7.261983081985335e-05,26.465863943099976,5,256,8,0.7996590733528137
model.layers.0.self_attn.q_proj,1024,1280,6.120434116858346,6.836387145980893e-05,26.53244376182556,5,256,8,0.6951165795326233
model.layers.0.self_attn.q_proj,1280,1536,6.118702082615443,-0.0016636703714425494,26.700275897979736,5,256,8,1.4170650243759155
model.layers.0.self_attn.q_proj,1536,1792,6.121232709805033,0.000866956818147635,26.69333267211914,5,256,8,1.0226457118988037
model.layers.0.self_attn.q_proj,1792,2048,6.120573711693398,0.00020795870651202364,26.34052586555481,5,256,8,0.8872739672660828
model.layers.0.self_attn.q_proj,2048,2304,6.120848976110578,0.0004832231236919782,26.587331295013428,5,256,8,0.9948140382766724
model.layers.0.self_attn.q_proj,2304,2560,6.119297548633037,-0.0010682043538485786,26.399571657180786,5,256,8,0.7922544479370117
model.layers.0.self_attn.q_proj,2560,2816,6.120089525603184,-0.0002762273837015883,26.12681293487549,5,256,8,0.805844247341156
model.layers.0.self_attn.q_proj,2816,3072,6.128297534792415,0.007931781805528892,26.490825414657593,5,256,8,0.7437686324119568
model.layers.0.self_attn.q_proj,3072,3328,6.119718082024,-0.0006476709628859822,26.544445514678955,5,256,8,1.1283842325210571
model.layers.0.self_attn.q_proj,3328,3584,6.1190018669280715,-0.0013638860588143231,26.529837131500244,5,256,8,1.3262057304382324
model.layers.0.self_attn.q_proj,3584,3840,6.120232080168187,-0.00013367281869847147,26.76578688621521,5,256,8,1.4556654691696167
model.layers.0.self_attn.q_proj,3840,4096,6.119662629253379,-0.000703123733506672,26.415165901184082,5,256,8,1.2763391733169556
model.layers.0.self_attn.k_proj,0,256,6.119122843596006,-0.0012429093908794542,26.565584182739258,5,256,8,1.139592170715332
model.layers.0.self_attn.k_proj,256,512,6.1216345726349015,0.0012688196480157288,26.336578607559204,5,256,8,0.7916470766067505
model.layers.0.self_attn.k_proj,512,768,6.121158445698869,0.0007926927119834559,26.263256788253784,5,256,8,1.068877100944519
model.layers.0.self_attn.k_proj,768,1024,6.114628591696797,-0.0057371612900887214,26.16330909729004,5,256,8,1.2661434412002563
model.layers.0.self_attn.v_proj,0,256,6.124473134089417,0.004107381102531171,26.384579181671143,5,256,8,0.5026339888572693
model.layers.0.self_attn.v_proj,256,512,6.122813425154123,0.0024476721672375135,26.645121574401855,5,256,8,0.40396374464035034
model.layers.0.self_attn.v_proj,512,768,6.129467095575164,0.009101342588277994,26.657074451446533,5,256,8,0.36366432905197144
model.layers.0.self_attn.v_proj,768,1024,6.116472032284519,-0.0038937207023668208,26.67057728767395,5,256,8,0.6408980488777161
model.layers.0.self_attn.o_proj,0,256,6.1177590823893295,-0.00260667059755626,26.705477237701416,5,256,8,0.4921310842037201
model.layers.0.self_attn.o_proj,256,512,6.118915990295138,-0.0014497626917480133,26.697072982788086,5,256,8,0.4813827574253082
model.layers.0.self_attn.o_proj,512,768,6.120753449320342,0.0003876963334565886,26.55213761329651,5,256,8,0.48154255747795105
model.layers.0.self_attn.o_proj,768,1024,6.120513998769269,0.00014824578238314956,26.196784257888794,5,256,8,0.4781440198421478
model.layers.0.self_attn.o_proj,1024,1280,6.119290652169246,-0.0010751008176397292,26.303026914596558,5,256,8,0.48121142387390137
model.layers.0.self_attn.o_proj,1280,1536,6.123342318272193,0.002976565285306876,26.51830792427063,5,256,8,0.48338979482650757
model.layers.0.self_attn.o_proj,1536,1792,6.119775965585212,-0.0005897874016733695,26.68393850326538,5,256,8,0.4883752167224884
model.layers.0.self_attn.o_proj,1792,2048,6.119079192729478,-0.0012865602574079205,26.48875665664673,5,256,8,0.48560279607772827
model.layers.0.self_attn.o_proj,2048,2304,6.121297354199555,0.0009316012126694417,26.68735671043396,5,256,8,0.4933527112007141
model.layers.0.self_attn.o_proj,2304,2560,6.118713207187733,-0.0016525457991525272,26.416500329971313,5,256,8,0.4883023798465729
model.layers.0.self_attn.o_proj,2560,2816,6.118565877605498,-0.0017998753813879276,26.73870587348938,5,256,8,0.4941974878311157
model.layers.0.self_attn.o_proj,2816,3072,6.119372430140644,-0.00099332284624154,26.50762414932251,5,256,8,0.4861280620098114
model.layers.0.self_attn.o_proj,3072,3328,6.120514106198295,0.00014835321140882485,26.42387890815735,5,256,8,0.4900226891040802
model.layers.0.self_attn.o_proj,3328,3584,6.1186666461099035,-0.0016991068769822704,26.452167510986328,5,256,8,0.48935651779174805
model.layers.0.self_attn.o_proj,3584,3840,6.120434331713595,6.85787267089566e-05,26.51859998703003,5,256,8,0.49570488929748535
model.layers.0.self_attn.o_proj,3840,4096,6.126865927127596,0.006500174140709802,26.68008780479431,5,256,8,0.48603639006614685
model.layers.0.mlp.gate_proj,0,256,6.120399471548147,3.3718561261331104e-05,26.89413094520569,5,256,8,0.7676027417182922
model.layers.0.mlp.gate_proj,256,512,6.119898054118412,-0.00046769886847375375,26.763800621032715,5,256,8,0.7732263803482056
model.layers.0.mlp.gate_proj,512,768,6.120094435666271,-0.0002713173206148056,26.381385326385498,5,256,8,0.7961288690567017
model.layers.0.mlp.gate_proj,768,1024,6.120443113928344,7.736094145815997e-05,26.589455127716064,5,256,8,0.7833137512207031
model.layers.0.mlp.gate_proj,1024,1280,6.120211615915868,-0.0001541370710178569,26.670848846435547,5,256,8,0.7748709321022034
model.layers.0.mlp.gate_proj,1280,1536,6.120140721149186,-0.0002250318376999516,26.349374532699585,5,256,8,0.7855306267738342
model.layers.0.mlp.gate_proj,1536,1792,6.120168776382617,-0.00019697660426842845,26.384972095489502,5,256,8,0.7780121564865112
model.layers.0.mlp.gate_proj,1792,2048,6.120279167902771,-8.658508411496513e-05,26.60198211669922,5,256,8,0.7725791931152344
model.layers.0.mlp.gate_proj,2048,2304,6.120156002015009,-0.00020975097187658776,26.81086492538452,5,256,8,0.7740651965141296
model.layers.0.mlp.gate_proj,2304,2560,6.120155549944323,-0.00021020304256236244,26.69327974319458,5,256,8,0.7804149985313416
model.layers.0.mlp.gate_proj,2560,2816,6.119895462654564,-0.00047029033232171,26.490398406982422,5,256,8,0.7746062278747559
model.layers.0.mlp.gate_proj,2816,3072,6.120236238376553,-0.00012951461033239298,26.783483743667603,5,256,8,0.7684374451637268
model.layers.0.mlp.gate_proj,3072,3328,6.1202073010647515,-0.00015845192213426174,26.723912715911865,5,256,8,0.7751517295837402
model.layers.0.mlp.gate_proj,3328,3584,6.120097506136166,-0.0002682468507195779,26.944622039794922,5,256,8,0.7727066874504089
model.layers.0.mlp.gate_proj,3584,3840,6.120336868775677,-2.8884211208612953e-05,26.384599447250366,5,256,8,0.7744096517562866
model.layers.0.mlp.gate_proj,3840,4096,6.120387086121144,2.1333134258227915e-05,26.30311679840088,5,256,8,0.7750688195228577
model.layers.0.mlp.gate_proj,4096,4352,6.1204120002365245,4.6247249638753374e-05,26.90150785446167,5,256,8,0.7733320593833923
model.layers.0.mlp.gate_proj,4352,4608,6.120499616725496,0.0001338637386103514,26.833975076675415,5,256,8,0.7683384418487549
model.layers.0.mlp.gate_proj,4608,4864,6.120238203343599,-0.0001275496432864287,26.47609233856201,5,256,8,0.7778921127319336
model.layers.0.mlp.gate_proj,4864,5120,6.120439465861055,7.37128741690185e-05,26.551674365997314,5,256,8,0.7726332545280457
model.layers.0.mlp.gate_proj,5120,5376,6.120200493095267,-0.00016525989161841892,26.571521520614624,5,256,8,0.7754079103469849
model.layers.0.mlp.gate_proj,5376,5632,6.12027582877962,-8.992420726539052e-05,26.45159387588501,5,256,8,0.7807955145835876
model.layers.0.mlp.gate_proj,5632,5888,6.120330190468237,-3.556251864900162e-05,26.432570219039917,5,256,8,0.786843478679657
model.layers.0.mlp.gate_proj,5888,6144,6.120136853941388,-0.0002288990454974993,26.198389768600464,5,256,8,0.767409086227417
model.layers.0.mlp.gate_proj,6144,6400,6.120371048216588,5.295229701829385e-06,26.474945068359375,5,256,8,0.7771583199501038
model.layers.0.mlp.gate_proj,6400,6656,6.1204001250625195,3.437207563372624e-05,26.785820484161377,5,256,8,0.7853858470916748
model.layers.0.mlp.gate_proj,6656,6912,6.120261890421959,-0.00010386256492722623,26.517052173614502,5,256,8,0.7691690325737
model.layers.0.mlp.gate_proj,6912,7168,6.120081236243994,-0.00028451674289176054,26.476227521896362,5,256,8,0.7747088670730591
model.layers.0.mlp.gate_proj,7168,7424,6.120167147134529,-0.00019860585235687012,26.554805994033813,5,256,8,0.7794229984283447
