layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.decoder.layers.0.self_attn.k_proj,0,256,13.93744267825034,-0.002300997231900581,26.187711238861084,5,256,8,2.2537946701049805
model.decoder.layers.0.self_attn.k_proj,256,512,13.938301068919273,-0.0014426065629677964,26.192177772521973,5,256,8,1.9781739711761475
model.decoder.layers.0.self_attn.k_proj,512,768,13.939496029909474,-0.000247645572766686,26.25344204902649,5,256,8,1.8921736478805542
model.decoder.layers.0.self_attn.k_proj,768,1024,13.9400189584506,0.0002752829683583258,26.32609724998474,5,256,8,1.8444191217422485
model.decoder.layers.0.self_attn.k_proj,1024,1280,13.939721455569437,-2.221991280393354e-05,26.251880645751953,5,256,8,1.8193751573562622
model.decoder.layers.0.self_attn.k_proj,1280,1536,13.939618902584703,-0.0001247728975375395,26.142534017562866,5,256,8,1.8784762620925903
model.decoder.layers.0.self_attn.k_proj,1536,1792,13.941732596096081,0.0019889206138401505,26.0983989238739,5,256,8,2.0228216648101807
model.decoder.layers.0.self_attn.k_proj,1792,2048,13.93980995560348,6.628012123854887e-05,26.123369455337524,5,256,8,1.8452861309051514
model.decoder.layers.0.self_attn.k_proj,2048,2304,13.936688959700412,-0.0030547157818290316,26.226929903030396,5,256,8,2.0710110664367676
model.decoder.layers.0.self_attn.k_proj,2304,2560,13.931537631654038,-0.00820604382820278,26.22326898574829,5,256,8,2.411231279373169
model.decoder.layers.0.self_attn.v_proj,0,256,13.93410437257639,-0.00563930290585013,26.25670886039734,5,256,8,1.28239905834198
model.decoder.layers.0.self_attn.v_proj,256,512,13.93744903931847,-0.0022946361637714574,26.333893299102783,5,256,8,1.2848224639892578
model.decoder.layers.0.self_attn.v_proj,512,768,13.939459472174207,-0.0002842033080341366,26.308481693267822,5,256,8,1.0237849950790405
model.decoder.layers.0.self_attn.v_proj,768,1024,13.940566786781403,0.000823111299162349,26.232099533081055,5,256,8,0.9743070006370544
model.decoder.layers.0.self_attn.v_proj,1024,1280,13.939076523790385,-0.0006671516918554943,26.25655245780945,5,256,8,0.9759406447410583
model.decoder.layers.0.self_attn.v_proj,1280,1536,13.938452605380093,-0.0012910701021482396,26.18332028388977,5,256,8,0.9796863794326782
model.decoder.layers.0.self_attn.v_proj,1536,1792,13.938550592239348,-0.0011930832428923566,26.24077033996582,5,256,8,1.03484046459198
model.decoder.layers.0.self_attn.v_proj,1792,2048,13.939698001255456,-4.567422678469768e-05,26.31100821495056,5,256,8,1.12665855884552
model.decoder.layers.0.self_attn.v_proj,2048,2304,13.941595459344793,0.0018517838625520255,26.157472372055054,5,256,8,1.2431763410568237
