layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,256,12.194730592218265,-0.0015820878826744433,14.584750413894653,5,256,8,7.716217517852783
model.layers.0.self_attn.q_proj,256,512,12.193010333663066,-0.003302346437873638,14.701961517333984,5,256,8,10.327225685119629
model.layers.0.self_attn.q_proj,512,768,12.192872291564191,-0.003440388536748884,14.654918432235718,5,256,8,8.394981384277344
model.layers.0.self_attn.q_proj,768,1024,12.192557757432768,-0.0037549226681719006,14.625134706497192,5,256,8,6.745507717132568
model.layers.0.self_attn.q_proj,1024,1280,12.181874813009768,-0.014437867091171341,14.727643966674805,5,256,8,9.294612884521484
model.layers.0.self_attn.q_proj,1280,1536,12.18829536185666,-0.008017318244279537,14.940255880355835,5,256,8,7.583033084869385
model.layers.0.self_attn.q_proj,1536,1792,12.191262663299375,-0.005050016801565249,14.512991189956665,5,256,8,6.421645641326904
model.layers.0.self_attn.q_proj,1792,2048,12.194259428225456,-0.002053251875484108,14.735686779022217,5,256,8,6.6706438064575195
model.layers.0.self_attn.q_proj,2048,2304,12.19509926249411,-0.0012134176068290259,14.615817785263062,5,256,8,6.306157112121582
model.layers.0.self_attn.q_proj,2304,2560,12.197202424699945,0.000889744599005482,14.76811170578003,5,256,8,5.810017108917236
model.layers.0.self_attn.k_proj,0,256,12.193266322004291,-0.0030463580966486603,14.789469957351685,5,256,8,7.778554439544678
model.layers.0.self_attn.k_proj,256,512,12.189070850983793,-0.007241829117146992,14.634974241256714,5,256,8,10.313443183898926
model.layers.0.self_attn.k_proj,512,768,12.197349904746302,0.0010372246453620448,14.667296886444092,5,256,8,8.22464370727539
model.layers.0.self_attn.k_proj,768,1024,12.201552464351984,0.0052397842510440995,14.655070066452026,5,256,8,6.668615341186523
model.layers.0.self_attn.k_proj,1024,1280,12.192552192735066,-0.0037604873658736437,14.743363618850708,5,256,8,9.435286521911621
model.layers.0.self_attn.k_proj,1280,1536,12.198571772811622,0.0022590927106822534,14.589543104171753,5,256,8,7.563579559326172
model.layers.0.self_attn.k_proj,1536,1792,12.189905677827614,-0.006407002273325801,14.895461082458496,5,256,8,6.491449356079102
model.layers.0.self_attn.k_proj,1792,2048,12.194210668111237,-0.0021020119897023903,14.792478084564209,5,256,8,6.589284420013428
model.layers.0.self_attn.k_proj,2048,2304,12.191706222117661,-0.0046064579832787445,14.65590238571167,5,256,8,6.271214485168457
model.layers.0.self_attn.k_proj,2304,2560,12.195253279920781,-0.0010594001801589314,14.78811526298523,5,256,8,6.087673664093018
model.layers.0.self_attn.v_proj,0,256,12.192113835425173,-0.004198844675766367,14.767184019088745,5,256,8,4.87290096282959
model.layers.0.self_attn.v_proj,256,512,12.192969302936152,-0.0033433771647874977,14.637661218643188,5,256,8,5.3360185623168945
model.layers.0.self_attn.v_proj,512,768,12.193818683748969,-0.0024939963519710062,14.7728590965271,5,256,8,5.003270626068115
model.layers.0.self_attn.v_proj,768,1024,12.19401023037123,-0.0023024497297097213,14.69862985610962,5,256,8,5.0881829261779785
model.layers.0.self_attn.v_proj,1024,1280,12.175215965338158,-0.021096714762782298,14.708268642425537,5,256,8,5.18077278137207
model.layers.0.self_attn.v_proj,1280,1536,12.20123986727491,0.004927187173970893,14.91720724105835,5,256,8,4.701761722564697
model.layers.0.self_attn.v_proj,1536,1792,12.180073895337328,-0.016238784763611847,14.688525199890137,5,256,8,4.265133857727051
model.layers.0.self_attn.v_proj,1792,2048,12.203058046036148,0.006745365935207914,14.736119508743286,5,256,8,4.752237796783447
model.layers.0.self_attn.v_proj,2048,2304,12.193974014040256,-0.0023386660606838916,14.581093549728394,5,256,8,4.431841850280762
model.layers.0.self_attn.v_proj,2304,2560,12.202947404852107,0.006634724751167553,14.707496643066406,5,256,8,4.297900199890137
