layer,win_start,win_end,ppl_new,delta_ppl,seconds,override_nsize,channel_window,eval_batch_size,l2_diff_vs_baseline
model.layers.0.self_attn.q_proj,0,1024,7.182779102152354,-7.901039211510863e-05,45.656150579452515,5,1024,8,13.261754989624023
model.layers.0.self_attn.q_proj,1024,2048,7.183033848097583,0.00017573555311400924,45.795560121536255,5,1024,8,10.70517635345459
model.layers.0.self_attn.q_proj,2048,3072,7.181292611384436,-0.001565501160032845,45.754098892211914,5,1024,8,11.867563247680664
model.layers.0.self_attn.q_proj,3072,4096,7.181917011685179,-0.0009411008592898895,45.9690728187561,5,1024,8,10.40566349029541
model.layers.0.self_attn.q_proj,4096,5120,7.181494765623011,-0.0013633469214582306,45.78722953796387,5,1024,8,12.767969131469727
model.layers.0.self_attn.k_proj,0,1024,7.179108728087759,-0.0037493844567100254,45.674221992492676,5,1024,8,16.108858108520508
model.layers.0.self_attn.v_proj,0,1024,7.1786243992085295,-0.004233713335939804,45.636322021484375,5,1024,8,7.161630630493164
model.layers.0.self_attn.o_proj,0,1024,7.166583012014217,-0.01627510053025194,45.751938343048096,5,1024,8,8.313458442687988
model.layers.0.self_attn.o_proj,1024,2048,7.174736205062964,-0.008121907481505097,45.725372076034546,5,1024,8,8.330573081970215
model.layers.0.self_attn.o_proj,2048,3072,7.18440431531533,0.0015462027708608161,45.79809093475342,5,1024,8,8.275280952453613
model.layers.0.self_attn.o_proj,3072,4096,7.167334013217794,-0.015524099326674978,45.76356768608093,5,1024,8,8.337258338928223
model.layers.0.self_attn.o_proj,4096,5120,7.176811568497599,-0.006046544046870217,45.91422700881958,5,1024,8,8.317829132080078
model.layers.0.mlp.gate_proj,0,1024,7.182909652749034,5.1540204564659575e-05,45.76612424850464,5,1024,8,9.994585037231445
model.layers.0.mlp.gate_proj,1024,2048,7.182835357087085,-2.2755457384171507e-05,45.769081830978394,5,1024,8,10.018232345581055
model.layers.0.mlp.gate_proj,2048,3072,7.183431644252954,0.0005735317084845093,45.63740420341492,5,1024,8,10.0004301071167
